Id,Name,Crest,Colors,Foundation,Stadium,Address,Coach,Value,CompetitionId
77,Athletic Club,https://crests.football-data.org/77.png,Red / White / Black,1898,San Mamés,"Ibaigane, Alameda Mazarredo, 23 Bilbao 48009",Ernesto Valverde,Value,2014
78,Club Atlético de Madrid,https://crests.football-data.org/78.png,Red / White / Blue,1903,Estadio Wanda Metropolitano,"Paseo Virgen del Puerto, 67 Madrid 28005",Diego Simeone,86600000,2014
79,CA Osasuna,https://crests.football-data.org/79.png,Red / Navy Blue,1920,Estadio El Sadar,"Calle del Sadar, s/n Pamplona 31006",Moreno,112400000,2014
80,RCD Espanyol de Barcelona,https://crests.football-data.org/80.png,Blue / White,1900,RCDE Stadium,"Avenida Baix Llobregat, 100 Cornellà de Llobregat 08940",Manolo González,86600000,2014
81,FC Barcelona,https://crests.football-data.org/81.png,Red / Navy Blue / Orange,1899,Camp Nou,Avenida Arístides Maillol s/n Barcelona 08028,Hansi Flick,946000000,2014
82,Getafe CF,https://crests.football-data.org/82.png,Blue / White,1946,Coliseum Alfonso Pérez,"Avenida Teresa de Calcuta, s/n Getafe 28903",Pepe Bordalás,74000000,2014
86,Real Madrid CF,https://crests.football-data.org/86.png,White / Purple,1902,Estadio Santiago Bernabéu,"Avenida Concha Espina, 1 Madrid 28036",Carlo Ancelotti,1360000000,2014
87,Rayo Vallecano de Madrid,https://crests.football-data.org/87.png,White / Red,1924,Estadio del Rayo Vallecano,"Calle del Payaso Fofó, s/n Madrid 28018",Iñigo Pérez,86600000,2014
89,RCD Mallorca,https://crests.football-data.org/89.png,Red / Black,1916,Iberostar Estadi,"Son Moix, Calle Camí dels Reis, s/n Palma de Mallorca 07011",Jagoba Arrasate,89700000,2014
90,Real Betis Balompié,https://crests.football-data.org/90.png,Green / White,1907,Estadio Benito Villamarín,"Avenida de Heliópolis, s/n Sevilla 41012",Manuel Pellegrini,192400000,2014
92,Real Sociedad de Fútbol,https://crests.football-data.org/92.png,Blue / White,1903,Estadio Municipal de Anoeta,"Anoeta Pasalekua, 1 San Sebastián 20014",Imanol Alguacil,86600000,2014
94,Villarreal CF,https://crests.football-data.org/94.png,Yellow / Blue,1923,Estadio de la Cerámica,"Camino Miralcamp, s/n Villarreal 12540",Marcelino,230700000,2014
95,Valencia CF,https://crests.football-data.org/95.png,White / Orange / Black,1919,Estadio de Mestalla,"Plaza del Valencia Club de Fútbol, 2 Valencia 46010",Rubén Baraja,253000000,2014
250,Real Valladolid CF,https://crests.football-data.org/250.png,Violet / White,1928,Estadio Municipal José Zorrilla,"Avenida del Mundial, 82 Valladolid 47014",Alvaro Rubio,44200000,2014
263,Deportivo Alavés,https://crests.football-data.org/263.png,Blue / White,1921,Estadio de Mendizorroza,"Mendizorroza, Paseo Cervantes, s/n Vitoria 01007",Eduardo Coudet,87700000,2014
275,UD Las Palmas,https://crests.football-data.org/275.png,Yellow / Blue,1949,Estadio de Gran Canaria,"Calle Pío XII, 29 Las Palmas de Gran Canaria 35005",Diego Martínez,112600000,2014
298,Girona FC,https://crests.football-data.org/298.png,Red / White / Blue,1930,Estadi Municipal de Montilivi,"Avinguda de Montilivi, 141 Girona 17003",Michel,216500000,2014
558,RC Celta de Vigo,https://crests.football-data.org/558.png,Sky Blue / White,1923,Estadio de Balaídos,"Calle del Conde de Gondomar, 1 Vigo 36203",Claudio,86600000,2014
559,Sevilla FC,https://crests.football-data.org/559.png,White / Red,1905,Estadio Ramón Sánchez Pizjuán,"Calle Sevilla Fútbol Club, s/n Sevilla 41005",Garcia Pimienta,174100000,2014
745,CD Leganés,https://crests.football-data.org/745.png,Blue / White,1928,Estadio Municipal de Butarque,"Calle Arquitectura, s/n Leganés 28914",Borja Jiménez,56330000,2014
